FECHA_PRES;HORA_PRES;NUMFIRMAS;ID_TIPOCANALENTRADA;DESC_TIPOCANALENTRADA;ID_CANALENTRADA;DESC_CANALENTRADA;ID_TIPOSOLICITUD;DESC_TIPOSOLICITUD;ID_PROCEDIMIENTO;DESC_PROCEDIMIENTO;ID_MATERIA;DESC_MATERIA_COMPLETO;ID_SUBMATERIA;DESC_SUBMATERIA_COMPLETO;ID_ESTADO;DESC_ESTADO;NUMEXPEDIENTE
20160202;1445;1;2;Teléfono;4;Teléfono 010;5;Reclamación;202;Sugerencia y Reclamacion Tributaria;1;Recaudación -Sugerencia y Reclamacion Tributaria-;7;RE Deudas no tributarias -Recaudación- -Sugerencia y Reclamacion Tributaria-;5;Terminado;502/2016/08438
20160202;1628;1;1;Telemático;1;Internet;4;Sugerencia;202;Sugerencia y Reclamacion Tributaria;10;Atención contribuyente -Sugerencia y Reclamacion Tributaria-;109;Aplicación de pago -Atención contribuyente- -Sugerencia y Reclamacion Tributaria-;5;Terminado;502/2016/08477
20160203;0;1;3;Presencial;56;Área de Gobierno de Hacienda y Administración Pública;5;Reclamación;202;Sugerencia y Reclamacion Tributaria;4;Asuntos generales -Sugerencia y Reclamacion Tributaria-;110;AG Cambio de procedimiento -Asuntos generales- -Sugerencia y Reclamacion Tributaria-;5;Terminado;502/2016/08713
20160203;0;1;3;Presencial;53;Agencia Tributaria Madrid - Sacramento;5;Reclamación;202;Sugerencia y Reclamacion Tributaria;3;I.B.I. -Sugerencia y Reclamacion Tributaria-;24;IBI. Liquidaciones -I.B.I.- -Sugerencia y Reclamacion Tributaria-;5;Terminado;502/2016/08794
20160203;0;1;1;Telemático;1;Internet;5;Reclamación;202;Sugerencia y Reclamacion Tributaria;7;Tasas y precios públicos -Sugerencia y Reclamacion Tributaria-;67;T Otras tasas -Tasas y precios públicos- -Sugerencia y Reclamacion Tributaria-;5;Terminado;502/2016/13957
20160203;0;1;2;Teléfono;4;Teléfono 010;5;Reclamación;202;Sugerencia y Reclamacion Tributaria;3;I.B.I. -Sugerencia y Reclamacion Tributaria-;25;IBI. Notificaciones -I.B.I.- -Sugerencia y Reclamacion Tributaria-;5;Terminado;502/2016/11251
20160203;0;1;2;Teléfono;4;Teléfono 010;5;Reclamación;202;Sugerencia y Reclamacion Tributaria;2;IVTM -Sugerencia y Reclamacion Tributaria-;16;IVTM Liquidaciones -IVTM- -Sugerencia y Reclamacion Tributaria-;5;Terminado;502/2016/10702
20160203;0;1;2;Teléfono;4;Teléfono 010;5;Reclamación;202;Sugerencia y Reclamacion Tributaria;10;Atención contribuyente -Sugerencia y Reclamacion Tributaria-;98;Atención telefónica 010 Línea Madrid -Atención contribuyente- -Sugerencia y Reclamacion Tributaria-;5;Terminado;502/2016/11255
20160203;0;1;1;Telemático;1;Internet;4;Sugerencia;202;Sugerencia y Reclamacion Tributaria;3;I.B.I. -Sugerencia y Reclamacion Tributaria-;22;IBI. Catastro -I.B.I.- -Sugerencia y Reclamacion Tributaria-;5;Terminado;502/2016/11780
20160203;0;1;3;Presencial;37;OAC Puente de Vallecas;5;Reclamación;202;Sugerencia y Reclamacion Tributaria;7;Tasas y precios públicos -Sugerencia y Reclamacion Tributaria-;67;T Otras tasas -Tasas y precios públicos- -Sugerencia y Reclamacion Tributaria-;5;Terminado;502/2016/15687
